Depth;A0;B0;Date0;A1;B1;Date1;A2;B2;Date2;A3;B3;Date3;A4;B4;Date4;A5;B5;Date5;A6;B6;Date6;A7;B7;Date7;A8;B8;Date8;A9;B9;Date9;A10;B10;Date10;A11;B11;Date11;A12;B12;Date12;A13;B13;Date13;A14;B14;Date14;A15;B15;Date15;A16;B16;Date16;A17;B17;Date17;A18;B18;Date18;A19;B19;Date19;A20;B20;Date20;A21;B21;Date21;A22;B22;Date22;A23;B23;Date23
0;0;0;01/02/2024;9,15;3,24;15/02/2024;-9,32;57,59;01/03/2024;29,48;46,48;15/03/2024;27,64;46,04;01/04/2024;38,94;35,37;15/04/2024;48,02;33,55;01/05/2024;61,14;37,84;15/05/2024;57,94;43,44;01/06/2024;48,68;43,05;15/06/2024;-5,08;-38,82;01/07/2024;50,28;39,82;15/07/2024;51,95;41,45;01/08/2024;52,22;51,82;15/08/2024;34,41;37,43;01/09/2024;56,4;40,1;07/09/2024;62,34;43,32;21/09/2024;61,41;43,24;10/05/2024;69,96;43,97;19/10/2024;71,12;46,07;01/11/2024;74,89;47,76;16/11/2024;72,6;47,05;01/12/2024;81,00;48,52;15/12/2024;74,70;44,49;27/12/2024
0,5;0;0;01/02/2024;8,6;2,51;15/02/2024;-3,57;40,56;01/03/2024;24,22;33,62;15/03/2024;22,8;33,09;01/04/2024;29,42;23,88;15/04/2024;30,67;29,41;01/05/2024;39,33;40,79;15/05/2024;36,72;45,52;01/06/2024;37,63;30,76;15/06/2024;3,61;-25,17;01/07/2024;39,24;27,51;15/07/2024;40,97;28,77;01/08/2024;41,36;40,42;15/08/2024;21,89;24,61;01/09/2024;45;27,76;07/09/2024;50,71;30,86;21/09/2024;49,81;30,54;10/05/2024;58,24;31,14;19/10/2024;59,27;33,42;01/11/2024;63,52;34,52;16/11/2024;61,23;33,56;01/12/2024;69,67;35,09;15/12/2024;63,43;31,02;27/12/2024
1;0;0;01/02/2024;8,06;1,76;15/02/2024;2,17;23,52;01/03/2024;18,97;20,76;15/03/2024;17,98;20,13;01/04/2024;19,81;12,62;15/04/2024;22,04;14,24;01/05/2024;25,32;32,55;15/05/2024;25,65;33,12;01/06/2024;30,3;14,3;15/06/2024;9,65;-17,9;01/07/2024;31,92;10,84;15/07/2024;33,68;11,85;01/08/2024;34,11;32,68;15/08/2024;4,91;7,14;01/09/2024;37,24;10,26;07/09/2024;42,69;12,83;21/09/2024;41,7;12,4;10/05/2024;49,97;12,86;19/10/2024;50,95;15,02;01/11/2024;55,22;16,15;16/11/2024;52,96;15,07;01/12/2024;61,40;16,51;15/12/2024;55,15;12,42;27/12/2024
1,5;0;0;01/02/2024;8,3;1,83;15/02/2024;7,24;8,08;01/03/2024;14,53;9,14;15/03/2024;13,62;8,62;01/04/2024;12,66;3,03;15/04/2024;15,22;-0,34;01/05/2024;17,09;17,29;15/05/2024;17,96;17,17;01/06/2024;25,58;1,06;15/06/2024;14,65;-12,33;01/07/2024;27,13;-2,8;15/07/2024;28,89;-1,77;01/08/2024;29,37;27,82;15/08/2024;-8,75;-7,09;01/09/2024;32,4;-4,32;07/09/2024;37,59;-2,25;21/09/2024;36,56;-2,75;10/05/2024;44,65;-2,28;19/10/2024;45,54;-0,32;01/11/2024;50,05;0,98;16/11/2024;47,93;0,05;01/12/2024;56,42;1,62;15/12/2024;50,23;-2,55;27/12/2024
2;0;0;01/02/2024;8,89;1,94;15/02/2024;10,08;1,13;01/03/2024;12,73;4,58;15/03/2024;11,85;4,06;01/04/2024;10,81;-0,14;15/04/2024;13,94;-6,38;01/05/2024;10,13;4,39;15/05/2024;12,57;4,91;01/06/2024;26,51;-1,49;15/06/2024;18,75;-7,49;01/07/2024;27,93;-5,45;15/07/2024;29,63;-4,1;01/08/2024;30,07;28,64;15/08/2024;-11,16;-9,71;01/09/2024;33,43;-6,94;07/09/2024;38,52;-4,99;21/09/2024;37,48;-5,63;10/05/2024;45,49;-5,03;19/10/2024;46,41;-3,41;01/11/2024;50,87;-1,81;16/11/2024;48,72;-2,48;01/12/2024;57,21;-0,93;15/12/2024;51,01;-4,89;27/12/2024
2,5;0;0;01/02/2024;9,57;2,01;15/02/2024;11,53;-0,36;01/03/2024;12,37;4,39;15/03/2024;11,51;3,92;01/04/2024;11,44;0,66;15/04/2024;15,35;-5,58;01/05/2024;10,78;1,33;15/05/2024;13,85;3,4;01/06/2024;28,34;0,43;15/06/2024;22,06;-3,72;01/07/2024;29,61;-3,46;15/07/2024;31,19;-2,04;01/08/2024;31,54;30,39;15/08/2024;-8,97;-7,59;01/09/2024;35,28;-4,67;07/09/2024;40,35;-2,59;21/09/2024;39,29;-3,17;10/05/2024;47,26;-2,51;19/10/2024;48,17;-0,9;01/11/2024;52,61;0,67;16/11/2024;50,43;0,13;01/12/2024;58,90;1,65;15/12/2024;52,67;-2,19;27/12/2024
3;0;0;01/02/2024;10,19;1,98;15/02/2024;12,37;-0,55;01/03/2024;12,42;4,87;15/03/2024;11,57;4,33;01/04/2024;12,12;1,96;15/04/2024;16,56;-3,07;01/05/2024;12,19;3,26;15/05/2024;15,47;5,85;01/06/2024;27,75;3,09;15/06/2024;23,2;-0,59;01/07/2024;28,91;-0,5;15/07/2024;30,31;0,85;01/08/2024;30,49;29,53;15/08/2024;-6,14;-4,59;01/09/2024;34,42;-1,63;07/09/2024;39,46;0,67;21/09/2024;38,39;0,05;10/05/2024;46,29;0,88;19/10/2024;47,25;2,27;01/11/2024;51,55;3,87;16/11/2024;49,34;3,31;01/12/2024;57,77;4,72;15/12/2024;51,46;0,94;27/12/2024
3,5;0;0;01/02/2024;10,33;1,87;15/02/2024;11,98;-0,14;01/03/2024;11,8;5,28;15/03/2024;10,99;4,81;01/04/2024;11,33;2,84;15/04/2024;15,35;-1,72;01/05/2024;13,92;4,53;15/05/2024;16,28;7,17;01/06/2024;25,61;4,57;15/06/2024;21,91;-0,54;01/07/2024;26,76;0,96;15/07/2024;28,02;2,36;01/08/2024;28,05;27,1;15/08/2024;-4,69;-3,18;01/09/2024;31,88;-0,31;07/09/2024;36,9;1,66;21/09/2024;35,83;1,01;10/05/2024;43,68;1,82;19/10/2024;44,63;2,99;01/11/2024;48,89;4,67;16/11/2024;46,65;4,01;01/12/2024;55,04;5,46;15/12/2024;48,72;1,73;27/12/2024
4;0;0;01/02/2024;10,36;1,91;15/02/2024;11,69;0,18;01/03/2024;11,43;5,59;15/03/2024;10,68;5,09;01/04/2024;10,55;3,38;15/04/2024;13,99;-1,01;01/05/2024;13,04;4,68;15/05/2024;15;7,46;01/06/2024;24,04;5,62;15/06/2024;19,63;-0,94;01/07/2024;25,15;1,97;15/07/2024;26,27;3,47;01/08/2024;26,24;25,18;15/08/2024;-3,68;-2,33;01/09/2024;29,79;0,29;07/09/2024;34,74;1,84;21/09/2024;33,61;1;10/05/2024;41,36;1,57;19/10/2024;42,26;2,62;01/11/2024;46,53;4,27;16/11/2024;44,29;3,64;01/12/2024;52,66;5,01;15/12/2024;46,32;1,31;27/12/2024
4,5;0;0;01/02/2024;10,28;1,89;15/02/2024;11,56;0,43;01/03/2024;11,24;5,86;15/03/2024;10,54;5,54;01/04/2024;10,17;3,89;15/04/2024;13,22;-0,55;01/05/2024;11,96;3,96;15/05/2024;13,77;6,84;01/06/2024;23,18;6,7;15/06/2024;16,27;-1,21;01/07/2024;24,23;3,03;15/07/2024;25,35;4,59;01/08/2024;25,24;24,08;15/08/2024;-2,54;-1,33;01/09/2024;28,63;0,99;07/09/2024;33,53;2,24;21/09/2024;32,34;1,15;10/05/2024;40;1,43;19/10/2024;40,82;2,42;01/11/2024;45,1;4,03;16/11/2024;42,88;3,49;01/12/2024;51,25;4,75;15/12/2024;44,88;1,10;27/12/2024
