Depth;A0;B0;Date0;A1;B1;Date1;A2;B2;Date2;A3;B3;Date3;A4;B4;Date4;A5;B5;Date5;A6;B6;Date6
0,0;0,0;0,0;03/02/2024;9,15;3,24;17/02/2024;-9,32;57,59;02/03/2024;29,48;46,48;17/03/2024;27,64;46,04;29/03/2024;38,94;35,37;14/04/2024;48,02;33,55;05/05/2024
0,5;0,0;0,0;03/02/2024;8,6;2,51;17/02/2024;-3,57;40,56;02/03/2024;24,22;33,62;17/03/2024;22,8;33,09;29/03/2024;29,42;23,88;14/04/2024;30,67;29,41;05/05/2024
1,0;0,0;0,0;03/02/2024;8,06;1,76;17/02/2024;2,17;23,52;02/03/2024;18,97;20,76;17/03/2024;17,98;20,13;29/03/2024;19,81;12,62;14/04/2024;22,04;14,24;05/05/2024
1,5;0,0;0,0;03/02/2024;8,3;1,83;17/02/2024;7,24;8,08;02/03/2024;14,53;9,14;17/03/2024;13,62;8,62;29/03/2024;12,66;3,03;14/04/2024;15,22;-0,34;05/05/2024
2,0;0,0;0,0;03/02/2024;8,89;1,94;17/02/2024;10,08;1,13;02/03/2024;12,73;4,58;17/03/2024;11,85;4,06;29/03/2024;10,81;-0,14;14/04/2024;13,94;-6,38;05/05/2024
2,5;0,0;0,0;03/02/2024;9,57;2,01;17/02/2024;11,53;-0,36;02/03/2024;12,37;4,39;17/03/2024;11,51;3,92;29/03/2024;11,44;0,66;14/04/2024;15,35;-5,58;05/05/2024
3,0;0,0;0,0;03/02/2024;10,19;1,98;17/02/2024;12,37;-0,55;02/03/2024;12,42;4,87;17/03/2024;11,57;4,33;29/03/2024;12,12;1,96;14/04/2024;16,56;-3,07;05/05/2024
3,5;0,0;0,0;03/02/2024;10,33;1,87;17/02/2024;11,98;-0,14;02/03/2024;11,8;5,28;17/03/2024;10,99;4,81;29/03/2024;11,33;2,84;14/04/2024;15,35;-1,72;05/05/2024
4,0;0,0;0,0;03/02/2024;10,36;1,91;17/02/2024;11,69;0,18;02/03/2024;11,43;5,59;17/03/2024;10,68;5,09;29/03/2024;10,55;3,38;14/04/2024;13,99;-1,01;05/05/2024
4,5;0,0;0,0;03/02/2024;10,28;1,89;17/02/2024;11,56;0,43;02/03/2024;11,24;5,86;17/03/2024;10,54;5,54;29/03/2024;10,17;3,89;14/04/2024;13,22;-0,55;05/05/2024
5,0;0,0;0,0;03/02/2024;10,18;1,92;17/02/2024;11,49;0,71;02/03/2024;11,2;6,03;17/03/2024;10,52;5,93;29/03/2024;10,11;3,9;14/04/2024;12,97;-0,43;05/05/2024
5,5;0,0;0,0;03/02/2024;10,1;1,94;17/02/2024;11,56;0,85;02/03/2024;11,29;6,17;17/03/2024;10,63;6,41;29/03/2024;10,23;4,29;14/04/2024;13,22;-0,28;05/05/2024
6,0;0,0;0,0;03/02/2024;10,07;2,01;17/02/2024;12,04;0,34;02/03/2024;11,77;5,74;17/03/2024;11,12;6,06;29/03/2024;10,63;4,13;14/04/2024;13,93;-0,12;05/05/2024
6,5;0,0;0,0;03/02/2024;10,01;2,07;17/02/2024;12,09;0,91;02/03/2024;11,59;6,34;17/03/2024;10,91;6,66;29/03/2024;10,63;4,58;14/04/2024;14,22;-0,03;05/05/2024
7,0;0,0;0,0;03/02/2024;9,97;2,17;17/02/2024;12,01;0,94;02/03/2024;11,47;6,25;17/03/2024;10,76;6,56;29/03/2024;10,64;4,56;14/04/2024;14,46;0,12;05/05/2024
7,5;0,0;0,0;03/02/2024;9,95;2,25;17/02/2024;11,92;0,92;02/03/2024;11,3;6,12;17/03/2024;10,61;6,48;29/03/2024;10,6;4,6;14/04/2024;14,57;0,24;05/05/2024
8,0;0,0;0,0;03/02/2024;9,89;2,31;17/02/2024;11,81;0,94;02/03/2024;11,14;6,02;17/03/2024;10,47;6,34;29/03/2024;10,53;4,54;14/04/2024;14,39;0,34;05/05/2024
8,5;0,0;0,0;03/02/2024;9,78;2,28;17/02/2024;11,67;0,79;02/03/2024;10,94;5,73;17/03/2024;10,28;6,18;29/03/2024;10,39;4,41;14/04/2024;13,78;0,21;05/05/2024
9,0;0,0;0,0;03/02/2024;9,68;2,22;17/02/2024;11,5;0,78;02/03/2024;10,81;5,57;17/03/2024;10,18;6,03;29/03/2024;10,24;4,33;14/04/2024;12,93;0,02;05/05/2024
9,5;0,0;0,0;03/02/2024;9,56;2,17;17/02/2024;11,17;0,69;02/03/2024;10,37;5,27;17/03/2024;9,78;5,73;29/03/2024;9,87;4,15;14/04/2024;12,49;0,38;05/05/2024
10,0;0,0;0,0;03/02/2024;9,43;2,11;17/02/2024;11,06;0,55;02/03/2024;10,19;5,01;17/03/2024;9,6;5,43;29/03/2024;9,63;3,89;14/04/2024;12,2;0,57;05/05/2024
